station_id,timestamp,latitude,longitude,temperature_c,humidity_pct,precipitation,wind_direction_deg,wind_speed_ms
0-356-1-0732232137828687,2026-08-23 04:30:00+00:00,23.2137,82.8687,29.0,87.0,,259.0,3.0
0-356-1-0732232137828687,2026-08-23 04:45:00+00:00,23.2137,82.8687,28.8,89.0,,312.0,2.0
0-356-1-0732232137828687,2026-08-23 05:00:00+00:00,23.2137,82.8687,29.5,86.0,,338.0,3.0
0-356-1-0732232137828687,2026-08-23 05:15:00+00:00,23.2137,82.8687,29.8,76.0,,295.0,2.0
0-356-1-0732232137828687,2026-08-23 05:30:00+00:00,23.2137,82.8687,29.9,68.0,,331.0,3.0
0-356-1-1108221894716860,2026-08-23 04:00:00+00:00,22.1894,71.686,28.6,85.0,,258.0,5.0
0-356-1-1108221894716860,2026-08-23 04:15:00+00:00,22.1894,71.686,28.5,81.0,,266.0,6.0
0-356-1-1108221894716860,2026-08-23 04:30:00+00:00,22.1894,71.686,29.0,79.0,,238.0,6.0
0-356-1-1108221894716860,2026-08-23 04:45:00+00:00,22.1894,71.686,30.1,74.0,,251.0,5.0
0-356-1-1108221894716860,2026-08-23 05:00:00+00:00,22.1894,71.686,29.7,74.0,,288.0,6.0
0-356-1-1108221894716860,2026-08-23 05:15:00+00:00,22.1894,71.686,30.9,67.0,,284.0,8.0
0-356-1-1108221894716860,2026-08-23 05:30:00+00:00,22.1894,71.686,31.3,63.0,,236.0,7.0
0-356-1-1118232500696667,2026-08-23 04:00:00+00:00,23.25,69.6667,,72.0,,203.0,6.0
0-356-1-1118232500696667,2026-08-23 04:15:00+00:00,23.25,69.6667,,70.0,,213.0,6.0
0-356-1-1118232500696667,2026-08-23 04:30:00+00:00,23.25,69.6667,,70.0,,213.0,7.0
0-356-1-1118232500696667,2026-08-23 04:45:00+00:00,23.25,69.6667,,70.0,,221.0,6.0
0-356-1-1118232500696667,2026-08-23 05:00:00+00:00,23.25,69.6667,,70.0,,209.0,7.0
0-356-1-1118232500696667,2026-08-23 05:15:00+00:00,23.25,69.6667,,70.0,,199.0,3.0
0-356-1-1118232500696667,2026-08-23 05:30:00+00:00,23.25,69.6667,,68.0,,268.0,
0-356-1-1118235507706429,2026-08-23 04:00:00+00:00,23.5507,70.6429,28.6,85.0,,17.0,5.0
0-356-1-1118235507706429,2026-08-23 04:15:00+00:00,23.5507,70.6429,28.4,86.0,,33.0,8.0
0-356-1-1118235507706429,2026-08-23 04:30:00+00:00,23.5507,70.6429,29.2,80.0,,348.0,7.0
0-356-1-1118235507706429,2026-08-23 04:45:00+00:00,23.5507,70.6429,29.3,75.0,,31.0,5.0
0-356-1-1118235507706429,2026-08-23 05:00:00+00:00,23.5507,70.6429,29.5,72.0,,11.0,7.0
0-356-1-1118235507706429,2026-08-23 05:15:00+00:00,23.5507,70.6429,30.5,69.0,,45.0,4.0
0-356-1-1118235507706429,2026-08-23 05:30:00+00:00,23.5507,70.6429,30.5,69.0,,41.0,4.0
0-356-1-1119231267736030,2026-08-23 04:15:00+00:00,23.1267,73.603,27.1,100.0,,203.0,3.0
0-356-1-1119231267736030,2026-08-23 04:30:00+00:00,23.1267,73.603,27.3,100.0,,171.0,3.0
0-356-1-1119231267736030,2026-08-23 05:00:00+00:00,23.1267,73.603,28.4,100.0,,185.0,2.0
0-356-1-1119231267736030,2026-08-23 05:15:00+00:00,23.1267,73.603,28.9,100.0,,99.0,5.0
0-356-1-1119231267736030,2026-08-23 05:30:00+00:00,23.1267,73.603,30.1,100.0,,134.0,2.0
0-356-1-1202288000761300,2026-08-23 04:00:00+00:00,28.8,76.13,31.4,67.0,,278.0,2.0
0-356-1-1202288000761300,2026-08-23 04:15:00+00:00,28.8,76.13,31.3,67.0,,265.0,1.0
0-356-1-1202288000761300,2026-08-23 04:30:00+00:00,28.8,76.13,31.5,68.0,,291.0,2.0
0-356-1-1202288000761300,2026-08-23 04:45:00+00:00,28.8,76.13,31.8,62.0,,306.0,1.0
0-356-1-1202288000761300,2026-08-23 05:00:00+00:00,28.8,76.13,32.5,61.0,,274.0,2.0
0-356-1-1202288000761300,2026-08-23 05:15:00+00:00,28.8,76.13,32.4,64.0,,268.0,2.0
0-356-1-1202288000761300,2026-08-23 05:30:00+00:00,28.8,76.13,32.2,59.0,,291.0,2.0
0-356-1-1204283700772700,2026-08-23 04:00:00+00:00,28.37,77.27,30.4,76.0,,,
0-356-1-1204283700772700,2026-08-23 04:15:00+00:00,28.37,77.27,30.2,76.0,,,
0-356-1-1204283700772700,2026-08-23 04:30:00+00:00,28.37,77.27,30.4,77.0,,,
0-356-1-1204283700772700,2026-08-23 04:45:00+00:00,28.37,77.27,30.5,75.0,,,
0-356-1-1204283700772700,2026-08-23 05:00:00+00:00,28.37,77.27,31.7,71.0,,,
0-356-1-1204283700772700,2026-08-23 05:15:00+00:00,28.37,77.27,30.8,75.0,,,
0-356-1-1204283700772700,2026-08-23 05:30:00+00:00,28.37,77.27,30.4,77.0,,,
0-356-1-1207290300752800,2026-08-23 04:00:00+00:00,29.03,75.28,30.9,64.0,,245.0,5.0
0-356-1-1207290300752800,2026-08-23 04:15:00+00:00,29.03,75.28,31.2,64.0,,249.0,4.0
0-356-1-1207290300752800,2026-08-23 04:30:00+00:00,29.03,75.28,31.7,62.0,,250.0,3.0
0-356-1-1207290300752800,2026-08-23 04:45:00+00:00,29.03,75.28,31.9,61.0,,247.0,4.0
0-356-1-1207290300752800,2026-08-23 05:00:00+00:00,29.03,75.28,31.8,62.0,,296.0,2.0
0-356-1-1207290300752800,2026-08-23 05:15:00+00:00,29.03,75.28,32.2,60.0,,291.0,2.0
0-356-1-1207290300752800,2026-08-23 05:30:00+00:00,29.03,75.28,32.6,57.0,,269.0,2.0
0-356-1-1217293800770000,2026-08-23 04:00:00+00:00,29.38,77.0,28.4,87.0,,158.0,5.0
0-356-1-1217293800770000,2026-08-23 04:15:00+00:00,29.38,77.0,28.3,89.0,,144.0,3.0
0-356-1-1217293800770000,2026-08-23 04:30:00+00:00,29.38,77.0,28.3,89.0,,143.0,2.0
0-356-1-1217293800770000,2026-08-23 04:45:00+00:00,29.38,77.0,28.3,90.0,,161.0,2.0
0-356-1-1217293800770000,2026-08-23 05:00:00+00:00,29.38,77.0,28.8,89.0,,178.0,2.0
0-356-1-1217293800770000,2026-08-23 05:15:00+00:00,29.38,77.0,29.0,89.0,,162.0,3.0
0-356-1-1217293800770000,2026-08-23 05:30:00+00:00,29.38,77.0,29.6,87.0,,184.0,2.0
0-356-1-1302325311760022,2026-08-23 05:00:00+00:00,32.5311,76.0022,18.3,77.0,,,0.0
0-356-1-1701093820763898,2026-08-23 04:00:00+00:00,9.382,76.3898,30.7,86.0,,253.0,6.0
0-356-1-1701093820763898,2026-08-23 04:15:00+00:00,9.382,76.3898,30.0,85.0,,231.0,8.0
0-356-1-1701093820763898,2026-08-23 04:30:00+00:00,9.382,76.3898,30.5,85.0,,249.0,9.0
0-356-1-1701093820763898,2026-08-23 04:45:00+00:00,9.382,76.3898,31.1,83.0,,289.0,4.0
0-356-1-1701093820763898,2026-08-23 05:00:00+00:00,9.382,76.3898,31.6,79.0,,240.0,7.0
0-356-1-1701093820763898,2026-08-23 05:15:00+00:00,9.382,76.3898,31.1,77.0,,275.0,4.0
0-356-1-1701093820763898,2026-08-23 05:30:00+00:00,9.382,76.3898,32.2,73.0,,272.0,5.0
0-356-1-1703097986771614,2026-08-23 04:00:00+00:00,9.7986,77.1614,19.6,100.0,,290.0,4.0
0-356-1-1703097986771614,2026-08-23 04:15:00+00:00,9.7986,77.1614,19.8,100.0,,312.0,4.0
0-356-1-1703097986771614,2026-08-23 04:30:00+00:00,9.7986,77.1614,19.9,100.0,,301.0,4.0
0-356-1-1703097986771614,2026-08-23 04:45:00+00:00,9.7986,77.1614,19.9,100.0,,271.0,3.0
0-356-1-1703097986771614,2026-08-23 05:00:00+00:00,9.7986,77.1614,20.0,100.0,,305.0,5.0
0-356-1-1703097986771614,2026-08-23 05:15:00+00:00,9.7986,77.1614,20.7,100.0,,224.0,5.0
0-356-1-1703097986771614,2026-08-23 05:30:00+00:00,9.7986,77.1614,21.0,100.0,,232.0,4.0
0-356-1-1704118107754918,2026-08-23 04:00:00+00:00,11.8107,75.4918,29.3,99.0,,63.0,6.0
0-356-1-1704118107754918,2026-08-23 04:15:00+00:00,11.8107,75.4918,29.1,100.0,,58.0,5.0
0-356-1-1704118107754918,2026-08-23 04:30:00+00:00,11.8107,75.4918,29.3,100.0,,57.0,6.0
0-356-1-1704118107754918,2026-08-23 04:45:00+00:00,11.8107,75.4918,29.0,100.0,,53.0,7.0
0-356-1-1704118107754918,2026-08-23 05:00:00+00:00,11.8107,75.4918,30.2,95.0,,53.0,5.0
0-356-1-1704118107754918,2026-08-23 05:15:00+00:00,11.8107,75.4918,31.1,87.0,,59.0,5.0
0-356-1-1704118107754918,2026-08-23 05:30:00+00:00,11.8107,75.4918,30.4,90.0,,52.0,9.0
0-356-1-1711093622768406,2026-08-23 04:00:00+00:00,9.3622,76.8406,25.6,96.0,,328.0,4.0
0-356-1-1711093622768406,2026-08-23 04:15:00+00:00,9.3622,76.8406,25.6,95.0,,297.0,6.0
0-356-1-1711093622768406,2026-08-23 04:30:00+00:00,9.3622,76.8406,27.4,88.0,,315.0,6.0
0-356-1-1711093622768406,2026-08-23 04:45:00+00:00,9.3622,76.8406,26.2,92.0,,295.0,4.0
0-356-1-1711093622768406,2026-08-23 05:00:00+00:00,9.3622,76.8406,27.3,87.0,,213.0,7.0
0-356-1-1711093622768406,2026-08-23 05:15:00+00:00,9.3622,76.8406,26.7,88.0,,283.0,5.0
0-356-1-1711093622768406,2026-08-23 05:30:00+00:00,9.3622,76.8406,27.5,84.0,,304.0,6.0
0-356-1-1711094135768220,2026-08-23 04:00:00+00:00,9.4135,76.822,27.5,92.0,,342.0,4.0
0-356-1-1711094135768220,2026-08-23 04:15:00+00:00,9.4135,76.822,28.7,88.0,,350.0,5.0
0-356-1-1711094135768220,2026-08-23 04:30:00+00:00,9.4135,76.822,27.9,90.0,,338.0,5.0
0-356-1-1711094135768220,2026-08-23 04:45:00+00:00,9.4135,76.822,29.6,81.0,,340.0,5.0
0-356-1-1711094135768220,2026-08-23 05:00:00+00:00,9.4135,76.822,28.6,85.0,,300.0,4.0
0-356-1-1711094135768220,2026-08-23 05:15:00+00:00,9.4135,76.822,28.3,85.0,,312.0,6.0
0-356-1-1711094135768220,2026-08-23 05:30:00+00:00,9.4135,76.822,28.8,84.0,,309.0,4.0
0-356-1-1712084080770820,2026-08-23 05:00:00+00:00,8.408,77.082,29.1,83.0,,280.0,4.0
0-356-1-1712086249771442,2026-08-23 04:15:00+00:00,8.6249,77.1442,28.6,77.0,,196.0,1.0
0-356-1-1712086249771442,2026-08-23 04:30:00+00:00,8.6249,77.1442,29.4,83.0,,289.0,1.0
0-356-1-1712086249771442,2026-08-23 05:15:00+00:00,8.6249,77.1442,29.9,75.0,,123.0,1.0
0-356-1-1714116180761670,2026-08-23 04:00:00+00:00,11.618,76.167,24.1,89.0,,291.0,4.0
0-356-1-1714116180761670,2026-08-23 04:15:00+00:00,11.618,76.167,24.2,87.0,,339.0,4.0
0-356-1-1714116180761670,2026-08-23 04:30:00+00:00,11.618,76.167,25.5,83.0,,349.0,4.0
0-356-1-1714116180761670,2026-08-23 04:45:00+00:00,11.618,76.167,25.1,83.0,,309.0,4.0
0-356-1-1714116180761670,2026-08-23 05:00:00+00:00,11.618,76.167,24.9,85.0,,324.0,8.0
0-356-1-1714116180761670,2026-08-23 05:15:00+00:00,11.618,76.167,24.6,87.0,,298.0,5.0
0-356-1-1714116180761670,2026-08-23 05:30:00+00:00,11.618,76.167,26.2,84.0,,267.0,7.0
0-356-1-1902105445726212,2026-08-23 04:15:00+00:00,10.5445,72.6212,30.6,77.0,,233.0,3.0
0-356-1-1902105445726212,2026-08-23 04:30:00+00:00,10.5445,72.6212,29.9,75.0,,196.0,2.0
0-356-1-1902105445726212,2026-08-23 04:45:00+00:00,10.5445,72.6212,30.2,75.0,,317.0,4.0
0-356-1-1902105445726212,2026-08-23 05:00:00+00:00,10.5445,72.6212,30.9,75.0,,294.0,1.0
0-356-1-1902105445726212,2026-08-23 05:15:00+00:00,10.5445,72.6212,31.0,76.0,,280.0,2.0
0-356-1-1902105445726212,2026-08-23 05:30:00+00:00,10.5445,72.6212,31.4,75.0,,264.0,3.0
0-356-1-2107199722765323,2026-08-23 04:30:00+00:00,19.9722,76.5323,27.4,73.0,,241.0,5.0
0-356-1-2107199722765323,2026-08-23 05:15:00+00:00,19.9722,76.5323,28.1,73.0,,252.0,4.0
0-356-1-2107199722765323,2026-08-23 05:30:00+00:00,19.9722,76.5323,27.8,74.0,,250.0,3.0
0-356-1-2126187240733697,2026-08-23 04:00:00+00:00,18.724,73.3697,,100.0,,199.0,3.0
0-356-1-2126187240733697,2026-08-23 04:15:00+00:00,18.724,73.3697,,100.0,,190.0,2.0
0-356-1-2126187240733697,2026-08-23 04:30:00+00:00,18.724,73.3697,,100.0,,191.0,6.0
0-356-1-2126187240733697,2026-08-23 04:45:00+00:00,18.724,73.3697,,100.0,,213.0,4.0
0-356-1-2126187240733697,2026-08-23 05:00:00+00:00,18.724,73.3697,,99.0,,230.0,6.0
0-356-1-2126187240733697,2026-08-23 05:15:00+00:00,18.724,73.3697,,99.0,,248.0,3.0
0-356-1-2126187240733697,2026-08-23 05:30:00+00:00,18.724,73.3697,,100.0,,193.0,3.0
0-356-1-2127186452728696,2026-08-23 04:00:00+00:00,18.6452,72.8696,28.6,100.0,,260.0,16.0
0-356-1-2127186452728696,2026-08-23 04:15:00+00:00,18.6452,72.8696,28.4,100.0,,263.0,15.0
0-356-1-2127186452728696,2026-08-23 04:30:00+00:00,18.6452,72.8696,28.8,100.0,,263.0,16.0
0-356-1-2127186452728696,2026-08-23 04:45:00+00:00,18.6452,72.8696,28.9,100.0,,261.0,13.0
0-356-1-2127186452728696,2026-08-23 05:00:00+00:00,18.6452,72.8696,29.1,100.0,,262.0,15.0
0-356-1-2127186452728696,2026-08-23 05:15:00+00:00,18.6452,72.8696,28.5,100.0,,269.0,17.0
0-356-1-2127186452728696,2026-08-23 05:30:00+00:00,18.6452,72.8696,28.6,100.0,,271.0,18.0
0-356-1-2203242591936697,2026-08-23 04:00:00+00:00,24.2591,93.6697,27.8,74.0,,245.0,5.0
0-356-1-2203242591936697,2026-08-23 04:30:00+00:00,24.2591,93.6697,28.2,72.0,,38.0,3.0
0-356-1-2203242591936697,2026-08-23 05:00:00+00:00,24.2591,93.6697,28.4,75.0,,336.0,4.0
0-356-1-3006271687882044,2026-08-23 04:00:00+00:00,27.1687,88.2044,23.5,92.0,,215.0,1.0
0-356-1-3006271687882044,2026-08-23 04:15:00+00:00,27.1687,88.2044,23.6,93.0,,220.0,1.0
0-356-1-3006271687882044,2026-08-23 04:30:00+00:00,27.1687,88.2044,23.6,93.0,,290.0,1.0
0-356-1-3006271687882044,2026-08-23 04:45:00+00:00,27.1687,88.2044,23.1,94.0,,,0.0
0-356-1-3006271687882044,2026-08-23 05:00:00+00:00,27.1687,88.2044,23.4,98.0,,,0.0
0-356-1-3006271687882044,2026-08-23 05:15:00+00:00,27.1687,88.2044,23.1,98.0,,205.0,1.0
0-356-1-3006271687882044,2026-08-23 05:30:00+00:00,27.1687,88.2044,23.0,99.0,,216.0,1.0
0-356-1-3102128406801534,2026-08-23 04:00:00+00:00,12.8406,80.1534,31.1,54.0,,253.0,6.0
0-356-1-3102128406801534,2026-08-23 04:15:00+00:00,12.8406,80.1534,31.7,52.0,,233.0,3.0
0-356-1-3102128406801534,2026-08-23 04:30:00+00:00,12.8406,80.1534,31.8,52.0,,246.0,4.0
0-356-1-3102128406801534,2026-08-23 04:45:00+00:00,12.8406,80.1534,32.1,52.0,,268.0,4.0
0-356-1-3102128406801534,2026-08-23 05:00:00+00:00,12.8406,80.1534,32.2,51.0,,261.0,3.0
0-356-1-3102128406801534,2026-08-23 05:15:00+00:00,12.8406,80.1534,32.6,53.0,,244.0,3.0
0-356-1-3102128406801534,2026-08-23 05:30:00+00:00,12.8406,80.1534,32.7,51.0,,265.0,3.0
0-356-1-3303240669916142,2026-08-23 04:15:00+00:00,24.0669,91.6142,33.3,63.0,,,0.0
0-356-1-3303240669916142,2026-08-23 04:30:00+00:00,24.0669,91.6142,35.0,63.0,,96.0,1.0
0-356-1-3303240669916142,2026-08-23 04:45:00+00:00,24.0669,91.6142,35.2,63.0,,128.0,2.0
0-356-1-3303240669916142,2026-08-23 05:00:00+00:00,24.0669,91.6142,34.3,63.0,,115.0,3.0
0-356-1-3303240669916142,2026-08-23 05:15:00+00:00,24.0669,91.6142,34.8,58.0,,112.0,1.0
0-356-1-3303240669916142,2026-08-23 05:30:00+00:00,24.0669,91.6142,33.5,58.0,,213.0,2.0
0-356-1-3446268333839333,2026-08-23 04:15:00+00:00,26.8333,83.9333,,,,,0.0
0-356-1-3446268333839333,2026-08-23 04:30:00+00:00,26.8333,83.9333,,,,,0.0
0-356-1-3446268333839333,2026-08-23 04:45:00+00:00,26.8333,83.9333,,99.0,,,0.0
0-356-1-3446268333839333,2026-08-23 05:00:00+00:00,26.8333,83.9333,,98.0,,,0.0
0-356-1-3446268333839333,2026-08-23 05:15:00+00:00,26.8333,83.9333,,97.0,,,0.0
0-356-1-3446268333839333,2026-08-23 05:30:00+00:00,26.8333,83.9333,,95.0,,,0.0
